帧,流量,密度,平均速度,TPI
35,18,7,11.37893961150853,2.7503701895599817
68,25,8,5.57890039941637,7.743461418404119
101,32,9,10.80329698605334,4.6667852167493615
134,40,14,12.41684356296833,4.536848116645393
167,44,9,7.430119493804994,7.993672166842034
200,45,10,6.545997271022203,9.847691695248235
233,45,13,6.486518478572312,10.277727086864022
266,46,8,2.362413489586246,25.796512445490933
299,50,9,2.559538247501044,21.904992715544015
332,53,11,6.301585233701898,8.98246575832689
365,64,12,5.989003485862039,8.629096246478705
398,66,12,7.103838141595573,7.742293518479097
431,72,10,6.396947045061,8.614135192695066
464,78,14,6.67621165765097,8.066975759391545
497,88,9,4.279937948157772,11.790828690223544
530,83,11,5.101277608652267,9.370437856234599
563,78,13,5.694615010645698,8.93219023942711
596,80,12,5.730202804460298,8.16034235826158
629,81,15,6.469200306813602,6.51392995995037
662,77,15,3.232811987550218,10.498412549228624
695,79,9,4.998864409092036,5.275459756202423
728,74,8,3.297092048953645,7.869342305496165
761,70,9,3.665153080351281,7.175039751708978
794,68,7,3.164913003107561,8.553498438911916
827,60,6,4.607175681607514,6.945686948242162
860,47,11,6.031301316509564,7.3493660503110565
893,42,14,7.601060651271111,6.525822760653746
926,37,13,5.722696380012114,7.277014431448133
959,43,11,6.690176750761138,3.348656038518715
992,46,7,3.54282039892575,3.7276859259179216
1025,43,3,4.827176846033794,3.1475537222333694
1058,40,5,4.555652685070734,5.286472652372401
1091,41,7,1.156767072408347,24.054283628683745
1124,35,12,5.367360985836284,6.0728611660837375
1157,29,8,8.14238608666969,4.573767310213227
1190,36,9,6.788670739856459,6.014923229904169
1223,42,9,3.755309329517855,13.74244791274457
1256,48,15,5.702224817936159,9.547930182126677
1289,52,11,4.033245600901292,13.366470020622923
1322,53,11,3.752540590430038,15.084120270213765
1355,53,12,5.411470920405663,11.532106759003028
1388,55,11,5.478256934765533,11.32853146532132
1421,54,10,5.697951917573029,10.410931596556543
1454,58,13,4.393228901168497,11.773604129135423
1487,56,14,3.461790990644428,13.003350310297396
1520,53,11,4.804102664572778,8.18220984128876
1553,51,11,5.961626112521819,6.054517770917651
1586,52,8,6.060196126528028,5.119577052932121
1619,55,9,7.861743601251767,3.5634781463352314
1652,51,6,3.550238542123655,8.11875851996223
1685,51,8,6.373638247981347,4.522303947967814
1718,50,6,3.827547505902155,7.319743680114853
1751,39,9,9.013816931892636,3.423044986140214
1784,44,11,7.004310883686896,3.5043353947382787
1817,42,7,6.300884803667583,3.224540830461468
1850,43,7,6.195471079271121,2.280360411012732
1883,45,7,4.357879752332321,2.0567256263016476
1916,42,4,11.90350941821667,0.2816963036163969
1949,35,6,7.203892943465064,0.1189832863799573
35,15,8,10.66460336171829,2.083736400548305
68,19,5,13.63274237721428,1.2868914532152795
101,29,4,5.011737094930194,2.775094884981235
134,31,4,3.163857731355456,4.893984585428358
167,35,4,4.053990235077102,3.6706927047320232
200,36,7,10.14484404430569,1.5424730118873997
233,34,3,3.645518993302194,4.544929674326604
266,36,7,2.735173839598204,6.169626133335251
299,39,5,4.659049278994831,3.8570284180300485
332,34,6,7.938948670980332,3.5689024463530914
365,39,10,6.963002002904083,5.1585226320231765
398,47,11,6.048939936609054,6.753425270856257
431,53,11,6.213638073551579,7.108020477514226
464,57,9,4.219677842062534,10.103041166415338
497,59,12,6.13019379352697,6.47208596975056
530,57,10,3.850314180987375,8.748431671536427
563,56,9,5.921858892539729,5.789687817267469
596,59,7,3.931385345636567,8.626076153071685
629,56,9,4.300930761580954,7.0063737925303915
662,52,12,8.438328950557555,2.461296649007558
695,46,2,2.433701585691249,5.031996068702828
734,41,3,0.6436136285934314,16.705725364801477
767,35,6,9.67733849656414,1.3015188111596936
800,36,4,10.86528601644094,1.0311466892588639
834,29,4,2.064630678975024,7.362648235389922
867,23,7,8.444655683562846,2.471334060193005
900,34,7,12.67048611829624,1.516570563678868
933,38,6,8.529875453022113,3.1494053149628862
966,38,4,2.928384552842743,10.813698165401844
999,43,10,4.272482566036021,6.899207598966244
1032,47,7,2.37179691166192,9.688318292038803
1065,42,7,5.064072208977648,5.959348560447163
1098,44,6,5.68562125618007,5.066608710614726
1131,45,7,3.416427319561527,8.244479988024931
1164,44,5,1.515288591194481,13.611268585967245
1197,38,5,4.073426980359625,3.6393340239033765
1230,30,5,2.682573639418821,3.3549871167562237
1263,29,5,5.868617998200638,1.1017103589570296
1296,28,2,9.220982142857142,0.7262164124909223
1329,30,5,3.256423156290665,2.4652133314645996
1363,29,1,0.559045514922624,13.15871721124286
1397,28,3,2.656544102688957,2.868029787774127
1430,24,2,0.805357875512418,7.286270779710125
1464,20,3,5.927299774891354,1.5816645616126008
1497,19,3,14.91681547239451,0.5762953389065575
1530,23,7,8.688834535195733,1.0675036198777876
1563,24,3,10.19434105299294,0.8719434481034176
1596,21,4,13.16545320748588,0.9765818657752156
1629,28,6,4.602150565362236,2.3345710807273323
1662,36,5,10.1904259782012,0.7359849348833492
1696,35,3,2.433518586522667,3.5320207303286337
1729,32,2,3.600487288063626,2.0902841933693477
1762,34,4,3.082531111352165,1.5584340903927456
1795,31,2,14.10176893607547,0.27450228120194803
1833,24,2,1.214843621833773,6.430868845660354
1866,21,3,8.896984181430245,1.445112477998808
1899,23,6,9.616273303581726,1.0888848686167785
1932,33,5,5.094110968054577,0.49571996783904193
1965,35,5,5.636059247519195,0.06759197592183998
35,6,3,7.093471814691819,0.704873456978306
68,12,2,7.87563257749385,0.5643285667166988
101,14,3,19.25006377388336,0.2504629921262818
134,21,4,7.303314222410195,0.9182610801231579
167,25,2,12.0,0.7111111111111111
200,26,5,7.583602387340924,2.0455740847800237
233,31,6,13.99339974434325,0.9297778185341674
266,39,8,9.09098012525878,1.2433663529868344
299,44,5,9.587588121472647,0.8711547285356084
332,44,6,2.485757979882626,2.7505176559642592
365,38,6,7.809163104401562,0.7189035512083235
398,37,1,1.15297255089833,5.000783202751368
431,35,3,5.967796403607836,1.2926522945089138
464,34,5,8.255366886933396,1.0717923669377991
497,36,5,2.066060836470466,5.926916649409813
530,33,2,8.203347532620716,1.7731120725550586
563,38,8,6.153280744446766,2.409212584179211
596,38,5,2.522507722073896,5.433537519404936
629,36,6,2.905249740037322,6.246674045968595
662,37,8,4.450710397477458,4.255824295415162
695,44,3,4.716347831769176,3.3771958454250495
729,41,1,0.7686483672655523,22.238381895962444
762,38,6,6.061690166823587,3.2559965227661163
795,40,6,3.307837262324655,6.8587110552276265
828,35,5,6.852936202544731,3.557738122806235
861,35,9,5.264481905109845,4.631215914577954
894,40,4,5.640565662372131,3.324134691859028
927,37,8,4.922234416073171,4.982905110519715
960,35,7,11.31000663042093,2.578837273907165
993,42,5,6.766395620070448,4.691719717343578
1026,43,6,8.622595063991932,4.1557481323660665
1059,50,11,3.854849583884342,10.808895589819931
1092,52,10,5.428518651475035,7.08804124530529
1125,56,11,5.367749494129972,6.12398619672393
1158,60,10,4.512748748739928,5.173614469172773
1191,59,5,2.056525312271424,9.402343883982487
1224,58,8,6.437016113581014,2.7342753850669177
1257,52,3,0.70222249950347,23.369026799710674
1290,48,8,3.899838469948661,4.006576200630611
1323,44,5,2.65514136131937,4.82197689718047
1356,37,5,6.25534578760022,1.4402095927082545
1389,34,4,7.357714259630945,0.8527797604682045
1422,33,2,4.640625,1.2243648607284972
1455,32,3,2.799326814996662,2.3815249548397643
1488,33,5,9.551685319993956,0.6768068930322084
1521,29,2,7.738354276732601,1.0731736237664105
1554,29,3,6.41779180837557,1.6163757766110043
1587,36,6,5.167128354514901,2.799929012785446
1620,37,5,7.285553502307692,2.599863062626849
1653,43,9,5.027893725038674,4.455762591724525
1686,42,5,5.927069802089012,3.8697887324397464
1719,44,8,2.433639313741044,8.474961710038615
1752,45,7,6.611495709107985,2.195950683068255
1785,45,6,3.386344065284365,3.14990634767969
1818,42,2,3.220854815578576,2.464099871289066
1863,39,5,7.838547974635344,0.9840694014549373
1896,36,4,1.918367658884612,3.0890459909918477
1929,41,5,7.27677107535258,0.2793162385013975
1962,41,5,11.9734500692957,0.02716036314933657
35,7,3,3.109925446560957,8.612976338495407
68,14,5,3.206397013142782,6.701632751657746
101,19,4,2.484080320926799,8.545645644629762
134,27,5,2.828673805281071,6.819493792736332
